Samples	plate	timepoint	genotypeID	chamber	microbiome	well	size.pixels	size.mm2	Fo	Fm	Fv	Fp	Fm_L1	Fm_L2	Fm_L3	Fm_L4	Fm_Lss	Fm_D1	Fm_D2	Fm_D3	Ft_L1	Ft_L2	Ft_L3	Ft_L4	Ft_Lss	Ft_D1	Ft_D2	Ft_D3	Fo_L1	Fo_L2	Fo_L3	Fo_L4	Fo_Lss	Fo_D1	Fo_D2	Fo_D3	Fv_L1	Fv_L2	Fv_L3	Fv_L4	Fv_Lss	Fv_D1	Fv_D2	Fv_D3	Fq_L1	Fq_L2	Fq_L3	Fq_L4	Fq_Lss	Fq_D1	Fq_D2	Fq_D3	QY_max	Fv/Fm_L1	Fv/Fm_L2	Fv/Fm_L3	Fv/Fm_L4	Fv/Fm_Lss	Fv/Fm_D1	Fv/Fm_D2	Fv/Fm_D3	QY_L1	QY_L2	QY_L3	QY_L4	QY_Lss	QY_D1	QY_D2	QY_D3	NPQ_L1	NPQ_L2	NPQ_L3	NPQ_L4	NPQ_Lss	NPQ_D1	NPQ_D2	NPQ_D3	qN_L1	qN_L2	qN_L3	qN_L4	qN_Lss	qN_D1	qN_D2	qN_D3	qP_L1	qP_L2	qP_L3	qP_L4	qP_Lss	qP_D1	qP_D2	qP_D3	qL_L1	qL_L2	qL_L3	qL_L4	qL_Lss	qL_D1	qL_D2	qL_D3	Rfd_L1	Rfd_L2	Rfd_L3	Rfd_L4	Rfd_Lss
P16C3.9C.ControlM	P42	initial	P16C3	9	Control	7	651	99.77	21.37	33.89	12.52	33.8	21.9	18.78	18.35	17.48	17.33	23.56	26.56	28.54	21.12	16.87	16.33	15.94	15.23	15.1	17.34	18.41	15.89	14.18	13.93	13.42	13.33	16.74	18.2	19.11	6.02	4.61	4.42	4.06	4	6.82	8.36	9.43	0.78	1.91	2.01	1.55	2.1	8.46	9.22	10.13	0.37	0.27	0.25	0.24	0.23	0.23	0.29	0.31	0.33	0.04	0.1	0.11	0.09	0.12	0.36	0.35	0.35	0.55	0.8	0.85	0.94	0.96	0.44	0.28	0.19	0.67	0.77	0.78	0.8	0.81	0.6	0.47	0.36	0.13	0.42	0.46	0.38	0.53	1.24	1.1	1.07	0.17	0.49	0.53	0.45	0.6	1.12	1.05	1.03	0.6	1	1.07	1.12	1.22
P16C3.9C.ControlM	P42	week3	P16C3	9	Control	7	300	45.98	99.4	263.4	164	240.49	137.82	103.83	91.47	78.64	69.09	160.4	214.35	222.36	142.89	103.86	90.21	78.5	68.47	84.73	96.63	93.67	73.97	62.91	58.15	52.69	48.22	80.01	91.5	92.93	63.86	40.92	33.32	25.96	20.87	80.39	122.85	129.43	-5.07	-0.04	1.26	0.15	0.62	75.68	117.72	128.7	0.62	0.46	0.39	0.36	0.33	0.3	0.5	0.57	0.58	-0.04	0	0.01	0	0.01	0.47	0.55	0.58	0.91	1.54	1.88	2.35	2.81	0.64	0.23	0.18	0.66	0.8	0.84	0.88	0.9	0.56	0.29	0.24	-0.08	0	0.04	0.01	0.03	0.94	0.96	0.99	-0.15	0	0.06	0.01	0.04	1	1.01	1	0.68	1.32	1.67	2.06	2.51
P17A5.0C.0M	P43	initial	P17A5	0	0	7	1330	203.83	133.9	420.07	286.16	423.87	360.76	311.21	288.93	263.61	250.4	343.51	370.98	380.18	370.01	312.76	288.03	259.76	244.77	158.74	156.34	150.77	127.24	120.47	116.98	112.6	110.12	125.02	128.49	129.57	233.52	190.74	171.95	151.01	140.28	218.48	242.5	250.61	-9.26	-1.55	0.9	3.84	5.63	184.76	214.64	229.41	0.68	0.65	0.61	0.6	0.57	0.56	0.64	0.65	0.66	-0.03	0	0	0.01	0.02	0.54	0.58	0.6	0.16	0.35	0.45	0.59	0.68	0.22	0.13	0.1	0.2	0.36	0.43	0.51	0.55	0.26	0.17	0.14	-0.04	-0.01	0.01	0.03	0.04	0.85	0.89	0.92	-0.12	-0.02	0.01	0.06	0.09	1.07	1.08	1.07	0.15	0.36	0.47	0.63	0.73
P17A5.0C.0M	P43	week3	P17A5	0	0	7	2117	324.44	128.8	340.18	211.37	327.08	175.03	139.38	130.66	127.66	118.26	240.63	282.76	292.47	180.27	137.45	127.21	123.15	114.9	105.33	112.08	110.87	94.9	83.34	80.14	79	75.3	111.36	119.61	121.31	80.13	56.04	50.51	48.66	42.96	129.27	163.15	171.16	-5.24	1.93	3.44	4.51	3.35	135.3	170.68	181.6	0.62	0.46	0.4	0.39	0.38	0.36	0.54	0.58	0.59	-0.03	0.01	0.03	0.04	0.03	0.56	0.6	0.62	0.94	1.44	1.6	1.66	1.88	0.41	0.2	0.16	0.67	0.78	0.81	0.81	0.84	0.44	0.26	0.22	-0.07	0.03	0.07	0.09	0.08	1.05	1.05	1.06	-0.12	0.06	0.11	0.14	0.12	0.99	0.98	0.97	0.81	1.38	1.57	1.66	1.85
P17A5.0C.9M	P44	initial	P17A5	0	9	7	1469	225.13	26.48	61.05	34.57	67.02	48.95	44.05	41.88	39.14	37.41	49.95	52.75	53.73	51.57	45.28	42.57	39.52	37.3	27.52	28.35	28.25	23.91	22.68	22.09	21.31	20.78	24.15	24.79	25	25.04	21.37	19.79	17.84	16.63	25.8	27.97	28.73	-2.61	-1.23	-0.69	-0.38	0.11	22.43	24.4	25.48	0.57	0.51	0.49	0.47	0.46	0.44	0.52	0.53	0.53	-0.05	-0.03	-0.02	-0.01	0	0.45	0.46	0.47	0.25	0.39	0.46	0.56	0.63	0.22	0.16	0.14	0.33	0.44	0.49	0.55	0.59	0.3	0.23	0.2	-0.1	-0.06	-0.03	-0.02	0.01	0.87	0.87	0.89	-0.23	-0.11	-0.07	-0.04	0.01	0.99	1	1	0.3	0.48	0.57	0.7	0.8
P17A5.0C.9M	P44	week3	P17A5	0	9	7	667	102.22	37.07	87.91	50.84	86.42	37.38	29.7	27.82	27.12	27.53	52.1	62.78	65.21	39.37	28.83	26.15	24.09	24.65	25.5	28.34	28.81	23.61	20.3	19.4	19.06	19.26	28.74	31.72	32.32	13.77	9.4	8.42	8.06	8.27	23.36	31.06	32.88	-1.99	0.87	1.67	3.03	2.88	26.61	34.44	36.4	0.58	0.37	0.32	0.3	0.3	0.3	0.45	0.49	0.5	-0.05	0.03	0.06	0.11	0.1	0.51	0.55	0.56	1.35	1.96	2.16	2.24	2.19	0.69	0.4	0.35	0.79	0.86	0.88	0.88	0.88	0.61	0.45	0.41	-0.14	0.09	0.2	0.38	0.35	1.14	1.11	1.11	-0.24	0.13	0.27	0.48	0.45	1.01	0.99	0.99	1.2	2	2.31	2.59	2.51
P17A5.0C.ControlM	P45	initial	P17A5	0	Control	7	530	81.23	92.25	146.54	54.29	151.89	121.73	107.37	99.97	91.85	88.14	109.23	120.85	126.05	126.87	110.36	102.43	94.27	90.49	81.65	86.24	88.22	81.76	75.02	71.33	67.1	65.1	75.92	81.36	83.69	39.97	32.35	28.64	24.75	23.04	33.31	39.49	42.36	-5.14	-2.99	-2.46	-2.42	-2.35	27.58	34.61	37.84	0.37	0.33	0.3	0.29	0.27	0.26	0.3	0.33	0.34	-0.04	-0.03	-0.02	-0.03	-0.03	0.25	0.29	0.3	0.2	0.36	0.47	0.6	0.66	0.34	0.21	0.16	0.38	0.55	0.62	0.69	0.72	0.53	0.39	0.33	-0.13	-0.09	-0.09	-0.1	-0.1	0.83	0.88	0.89	-0.2	-0.14	-0.12	-0.14	-0.14	0.89	0.93	0.94	0.2	0.38	0.48	0.61	0.68
P17A5.0C.ControlM	P45	week3	P17A5	0	Control	7	732	112.18	53.8	105.18	51.38	99.87	30.74	23.94	21.98	22.43	22.89	55.46	73.87	76.84	30.96	21.82	20.08	19.59	20.19	33.28	41.12	41.39	24.03	19.67	18.32	18.64	18.95	36.88	44.21	45.26	6.71	4.28	3.66	3.8	3.94	18.57	29.66	31.58	-0.21	2.12	1.9	2.84	2.7	22.18	32.75	35.45	0.49	0.22	0.18	0.17	0.17	0.17	0.33	0.4	0.41	-0.01	0.09	0.09	0.13	0.12	0.4	0.44	0.46	2.42	3.39	3.79	3.69	3.6	0.9	0.42	0.37	0.92	0.95	0.96	0.96	0.95	0.73	0.51	0.47	-0.03	0.5	0.52	0.75	0.69	1.19	1.1	1.12	-0.04	0.55	0.57	0.79	0.73	1.08	1.03	1.03	2.23	3.58	3.97	4.1	3.95
P17A5.9C.0M	P46	initial	P17A5	9	0	7	1722	263.91	31.47	70.63	39.16	77.57	57.29	50.28	47.94	46.07	45.4	57.31	60.74	62.54	60.27	51.53	48.48	45.28	44.4	28.91	28.45	28.3	28.51	26.66	25.99	25.43	25.22	28.52	29.34	29.76	28.78	23.62	21.95	20.64	20.18	28.79	31.4	32.78	-2.98	-1.25	-0.54	0.79	1	28.41	32.3	34.24	0.55	0.5	0.47	0.46	0.45	0.44	0.5	0.52	0.52	-0.05	-0.02	-0.01	0.02	0.02	0.5	0.53	0.55	0.23	0.4	0.47	0.53	0.56	0.23	0.16	0.13	0.32	0.46	0.51	0.54	0.56	0.32	0.24	0.2	-0.1	-0.05	-0.02	0.04	0.05	0.99	1.03	1.04	-0.22	-0.1	-0.05	0.07	0.09	1	1	0.99	0.29	0.51	0.6	0.71	0.75
P17A5.9C.0M	P46	week3	P17A5	9	0	7	692	106.05	68.35	160.68	92.32	161.8	89.61	75.36	70.23	68.15	70.24	115.01	132.18	137.06	94.89	75.94	70.43	68.21	69.95	65.25	69.59	69.57	51.11	46.13	44.16	43.33	44.17	58.48	62.61	63.68	38.5	29.22	26.07	24.82	26.08	56.53	69.57	73.37	-5.28	-0.58	-0.2	-0.06	0.3	49.76	62.59	67.49	0.57	0.43	0.39	0.37	0.36	0.37	0.49	0.53	0.54	-0.06	-0.01	0	0	0	0.43	0.47	0.49	0.79	1.13	1.29	1.36	1.29	0.4	0.22	0.17	0.65	0.74	0.78	0.79	0.78	0.45	0.29	0.24	-0.14	-0.02	-0.01	0	0.01	0.88	0.9	0.92	-0.25	-0.03	-0.01	0	0.02	0.98	1	1	0.71	1.13	1.3	1.37	1.31
P17A5.9C.9M	P47	initial	P17A5	9	9	7	430	65.9	87.83	194.4	106.57	203.71	171.57	151.02	140.96	133.29	129.93	165.79	176.51	178.45	180.64	157.72	146.4	136.76	132.48	83.76	83.8	80.72	82.85	77.74	74.98	72.76	71.74	81.48	83.98	84.42	88.72	73.28	65.97	60.53	58.18	84.32	92.53	94.03	-9.07	-6.7	-5.44	-3.46	-2.55	82.03	92.71	97.73	0.55	0.52	0.49	0.47	0.45	0.45	0.51	0.52	0.53	-0.05	-0.04	-0.04	-0.03	-0.02	0.49	0.53	0.55	0.13	0.29	0.38	0.46	0.5	0.17	0.1	0.09	0.2	0.37	0.45	0.5	0.53	0.25	0.16	0.14	-0.1	-0.09	-0.08	-0.06	-0.04	0.97	1	1.04	-0.22	-0.19	-0.16	-0.11	-0.08	1	1	0.99	0.13	0.29	0.39	0.49	0.54
P17A5.9C.9M	P47	week3	P17A5	9	9	7	1038	159.08	28.66	68.4	39.75	70.5	35.02	29.63	27.07	25.74	25.85	41.58	50.05	53.76	34.57	27.46	25.33	23.72	23.61	22.83	25.91	26.71	20.48	18.51	17.48	16.91	16.96	22.56	24.84	25.72	14.54	11.12	9.59	8.83	8.89	19.02	25.21	28.04	0.45	2.17	1.73	2.02	2.24	18.75	24.13	27.05	0.58	0.42	0.38	0.35	0.34	0.34	0.46	0.5	0.52	0.01	0.07	0.06	0.08	0.09	0.45	0.48	0.5	0.95	1.31	1.53	1.66	1.65	0.64	0.37	0.27	0.7	0.78	0.81	0.83	0.83	0.59	0.42	0.34	0.03	0.2	0.18	0.23	0.25	0.99	0.96	0.96	0.05	0.29	0.26	0.32	0.35	1	1	1	1.04	1.57	1.78	1.97	1.99
P17A5.9C.ControlM	P48	initial	P17A5	9	Control	7	585	89.66	161.41	290.88	129.47	302.18	236.06	197.12	183.64	169.54	162.18	232.14	257.42	263.8	248.2	203.09	186.89	171.65	164	134.29	137.64	134.14	142.98	127.7	121.9	115.53	112.06	141.54	150.55	152.71	93.08	69.42	61.73	54.01	50.12	90.61	106.87	111.09	-12.14	-5.97	-3.25	-2.12	-1.82	97.85	119.78	129.66	0.45	0.39	0.35	0.34	0.32	0.31	0.39	0.42	0.42	-0.05	-0.03	-0.02	-0.01	-0.01	0.42	0.47	0.49	0.23	0.48	0.58	0.72	0.79	0.25	0.13	0.1	0.37	0.57	0.63	0.69	0.72	0.39	0.24	0.2	-0.13	-0.09	-0.05	-0.04	-0.04	1.08	1.12	1.17	-0.23	-0.14	-0.08	-0.06	-0.05	1.02	1.02	1.03	0.22	0.49	0.62	0.76	0.84
P17A5.9C.ControlM	P48	week3	P17A5	9	Control	7	959	146.97	54.77	112.69	57.92	109.19	40.96	30.56	26.86	24.11	23.96	48.65	70.86	79.31	41.83	29.83	25.8	21.83	21.38	31.08	41.78	44.39	29.59	23.75	21.45	19.66	19.56	33.4	42.56	45.46	11.37	6.81	5.41	4.45	4.4	15.25	28.3	33.84	-0.87	0.73	1.06	2.28	2.58	17.57	29.08	34.91	0.51	0.28	0.22	0.2	0.18	0.18	0.31	0.4	0.43	-0.02	0.02	0.04	0.09	0.11	0.36	0.41	0.44	1.75	2.69	3.19	3.67	3.7	1.32	0.59	0.42	0.86	0.92	0.94	0.95	0.95	0.81	0.6	0.5	-0.08	0.11	0.2	0.51	0.59	1.15	1.03	1.03	-0.11	0.14	0.24	0.57	0.64	1.07	1.01	1.01	1.61	2.66	3.23	4	4.11
P17B2.0C.0M	P43	initial	P17B2	0	0	8	629	96.4	94.56	234.76	140.2	224.15	149.08	132.89	125.13	118.56	114.98	179.79	186.16	185.54	152.79	133.74	126	117.74	113.56	97.23	95.87	92.41	76.79	72.25	69.9	67.8	66.61	84.19	85.56	85.43	72.3	60.64	55.24	50.76	48.37	95.6	100.6	100.11	-3.7	-0.85	-0.87	0.82	1.42	82.56	90.29	93.13	0.6	0.48	0.46	0.44	0.43	0.42	0.53	0.54	0.54	-0.02	-0.01	-0.01	0.01	0.01	0.46	0.48	0.5	0.57	0.77	0.88	0.98	1.04	0.31	0.26	0.27	0.54	0.63	0.66	0.7	0.71	0.37	0.33	0.33	-0.05	-0.01	-0.02	0.02	0.03	0.86	0.9	0.93	-0.1	-0.03	-0.03	0.03	0.05	1	1.01	1.01	0.47	0.68	0.78	0.9	0.97
P17B2.0C.0M	P43	week3	P17B2	0	0	8	1538	235.71	82.88	239.63	156.75	219.97	115.89	90.51	84.23	78.76	71.31	148.64	181.49	190.29	117.61	87.83	80.17	74.92	67.78	63.97	70.07	70.45	60.53	52.8	50.59	48.57	45.63	68.4	74.61	76.06	55.36	37.72	33.63	30.19	25.68	80.24	106.88	114.23	-1.72	2.68	4.05	3.84	3.53	84.67	111.42	119.84	0.65	0.48	0.42	0.4	0.38	0.36	0.54	0.59	0.6	-0.01	0.03	0.05	0.05	0.05	0.57	0.61	0.63	1.07	1.65	1.85	2.04	2.36	0.61	0.32	0.26	0.69	0.8	0.82	0.84	0.87	0.53	0.35	0.3	-0.03	0.07	0.12	0.13	0.14	1.06	1.04	1.05	-0.06	0.12	0.19	0.2	0.2	0.99	0.98	0.97	0.87	1.5	1.74	1.94	2.25
P17B2.0C.9M	P44	initial	P17B2	0	9	8	2320	355.56	49.84	100.16	50.32	105.21	75.23	68.05	64.5	60.85	59.1	79.18	81.29	82.78	78.34	69.47	66	61.45	59.28	46.17	46.37	45.67	42.78	40.36	39.09	37.71	37.04	44.03	44.68	45.12	32.45	27.69	25.42	23.14	22.07	35.14	36.61	37.66	-3.11	-1.42	-1.5	-0.6	-0.17	33	34.92	37.11	0.5	0.43	0.41	0.39	0.38	0.37	0.44	0.45	0.45	-0.04	-0.02	-0.02	-0.01	0	0.42	0.43	0.45	0.33	0.47	0.55	0.65	0.69	0.27	0.23	0.21	0.43	0.54	0.58	0.63	0.65	0.37	0.34	0.32	-0.1	-0.05	-0.06	-0.03	-0.01	0.94	0.95	0.99	-0.18	-0.09	-0.1	-0.04	-0.01	0.98	0.99	1	0.34	0.51	0.59	0.71	0.77
P17B2.0C.9M	P44	week3	P17B2	0	9	8	2230	341.76	68.93	198.08	129.15	172.88	77.06	60.26	55.9	52.53	48.21	101.51	126.68	136.45	75.84	57.67	52.6	48.27	44.6	49.72	54.75	56.25	44.57	38.38	36.56	35.09	33.11	51.78	57.62	59.56	32.49	21.88	19.33	17.44	15.1	49.72	69.06	76.88	1.22	2.59	3.3	4.26	3.61	51.79	71.92	80.19	0.65	0.42	0.36	0.35	0.33	0.31	0.49	0.55	0.56	0.02	0.04	0.06	0.08	0.07	0.51	0.57	0.59	1.57	2.29	2.54	2.77	3.11	0.95	0.56	0.45	0.79	0.86	0.88	0.89	0.91	0.66	0.51	0.44	0.04	0.12	0.17	0.24	0.24	1.04	1.04	1.04	0.06	0.18	0.25	0.34	0.32	1	0.99	0.99	1.28	2	2.29	2.58	2.88
P17B2.0C.ControlM	P45	initial	P17B2	0	Control	8	436	66.82	62.44	131.61	69.17	133.47	78.64	67.65	62.68	58.94	55.38	99.3	103.93	103.45	85.14	69.49	64.2	58.37	55.97	62.59	61.97	60.9	47.32	43.1	41.03	39.4	37.77	54.09	55.44	55.3	31.32	24.54	21.65	19.55	17.61	45.21	48.5	48.15	-6.5	-1.84	-1.52	0.57	-0.6	36.71	41.97	42.56	0.53	0.4	0.36	0.35	0.33	0.32	0.46	0.47	0.47	-0.08	-0.03	-0.02	0.01	-0.01	0.37	0.4	0.41	0.67	0.95	1.1	1.23	1.38	0.33	0.27	0.27	0.63	0.72	0.76	0.79	0.81	0.42	0.36	0.37	-0.21	-0.07	-0.07	0.03	-0.03	0.81	0.87	0.88	-0.37	-0.12	-0.11	0.04	-0.05	0.94	0.97	0.97	0.57	0.92	1.08	1.29	1.38
P17B2.0C.ControlM	P45	week3	P17B2	0	Control	8	216	33.1	37.97	83.56	45.59	77.03	33.15	26.56	25.33	25.4	25.21	48.26	57.26	58.21	31.44	25	23.27	22.66	21.02	27.43	32.22	31.2	22.46	19.22	18.57	18.61	18.5	28.5	31.42	31.7	10.7	7.34	6.76	6.79	6.7	19.76	25.84	26.51	1.71	1.57	2.06	2.74	4.19	20.83	25.04	27.01	0.55	0.32	0.28	0.27	0.27	0.27	0.41	0.45	0.46	0.05	0.06	0.08	0.11	0.17	0.43	0.44	0.46	1.52	2.15	2.3	2.29	2.32	0.73	0.46	0.44	0.82	0.89	0.9	0.9	0.9	0.64	0.5	0.49	0.16	0.21	0.31	0.4	0.63	1.05	0.97	1.02	0.22	0.28	0.38	0.49	0.71	1.01	0.99	1	1.45	2.08	2.31	2.4	2.67
P17B2.9C.0M	P46	initial	P17B2	9	0	8	1418	217.32	24.94	65.45	40.51	68.19	45.5	40.51	38.46	36.43	34.86	50.56	53.23	53.76	46.51	40.52	37.94	35.14	33.43	24.22	23.6	23.23	21.37	20.2	19.68	19.14	18.69	22.43	22.94	23.04	24.13	20.31	18.78	17.3	16.17	28.13	30.29	30.73	-1.01	-0.01	0.52	1.3	1.43	26.33	29.63	30.54	0.62	0.53	0.5	0.49	0.47	0.46	0.56	0.57	0.57	-0.02	0	0.01	0.04	0.04	0.52	0.56	0.57	0.44	0.62	0.7	0.8	0.88	0.29	0.23	0.22	0.45	0.55	0.59	0.63	0.65	0.35	0.29	0.28	-0.04	0	0.03	0.07	0.09	0.94	0.98	0.99	-0.09	0	0.05	0.14	0.16	1.01	1.01	1	0.47	0.68	0.8	0.94	1.04
P17B2.9C.0M	P46	week3	P17B2	9	0	8	512	78.47	86.46	223.25	136.79	200.24	107.2	81.02	75.34	71.96	68.17	123.76	166.39	178.67	109.26	80.51	72.87	69.3	65.36	66.83	78.67	81.41	60.92	51.47	49.12	47.66	45.96	65.93	76.35	78.84	46.28	29.55	26.22	24.3	22.2	57.83	90.03	99.83	-2.06	0.51	2.47	2.66	2.8	56.92	87.72	97.26	0.61	0.43	0.36	0.35	0.34	0.33	0.47	0.54	0.56	-0.02	0.01	0.03	0.04	0.04	0.46	0.53	0.54	1.08	1.76	1.96	2.1	2.28	0.8	0.34	0.25	0.71	0.83	0.85	0.86	0.87	0.63	0.39	0.31	-0.04	0.02	0.09	0.11	0.13	0.98	0.97	0.97	-0.08	0.03	0.14	0.16	0.18	1	1	1.01	0.83	1.49	1.75	1.89	2.06
P17B2.9C.9M	P47	initial	P17B2	9	9	8	838	128.43	61.32	166.89	105.58	165.88	107.6	94.66	91.53	91.99	93.05	144.82	149.52	150.63	111.5	96.48	92.85	91.18	91.1	68.07	66.5	64.16	50.99	47.89	47.07	47.2	47.47	58.06	58.81	58.98	56.6	46.77	44.45	44.79	45.57	86.75	90.71	91.66	-3.91	-1.82	-1.33	0.81	1.95	76.75	83.02	86.47	0.63	0.53	0.49	0.49	0.49	0.49	0.6	0.61	0.61	-0.04	-0.02	-0.01	0.01	0.02	0.53	0.56	0.57	0.55	0.76	0.82	0.81	0.79	0.15	0.12	0.11	0.51	0.61	0.63	0.63	0.62	0.2	0.16	0.15	-0.07	-0.04	-0.03	0.02	0.04	0.88	0.92	0.94	-0.15	-0.08	-0.06	0.04	0.08	1.04	1.03	1.03	0.49	0.72	0.79	0.82	0.82
P17B2.9C.9M	P47	week3	P17B2	9	9	8	1425	218.39	47.55	125.9	78.35	112.34	52.3	41.36	37.31	35.18	32.77	54.3	78.13	89.3	51.82	38.97	35.16	32.08	30.18	29.85	37.83	40.13	31.05	26.84	25.07	24.09	22.93	31.74	38.63	41.18	21.25	14.53	12.24	11.09	9.83	22.55	39.5	48.12	0.48	2.4	2.15	3.1	2.58	24.45	40.31	49.17	0.62	0.41	0.35	0.33	0.32	0.3	0.42	0.51	0.54	0.01	0.06	0.06	0.09	0.08	0.45	0.52	0.55	1.41	2.04	2.37	2.58	2.84	1.32	0.61	0.41	0.78	0.85	0.88	0.89	0.9	0.76	0.55	0.43	0.02	0.16	0.18	0.28	0.26	1.08	1.02	1.02	0.04	0.24	0.25	0.37	0.35	1.02	1	1	1.17	1.88	2.19	2.5	2.72
P17B2.9C.ControlM	P48	initial	P17B2	9	Control	8	263	40.31	62.49	150.53	88.04	148.03	98.24	79.55	74.97	74.25	75.01	132.12	135.88	136.01	103.6	81.24	74.75	73.71	74.91	70.62	69.7	67.96	51.18	45.6	44.06	43.81	44.07	59.07	59.81	59.84	47.06	33.95	30.92	30.44	30.94	73.05	76.07	76.17	-5.36	-1.69	0.23	0.54	0.1	61.5	66.17	68.04	0.58	0.48	0.43	0.41	0.41	0.41	0.55	0.56	0.56	-0.05	-0.02	0	0.01	0	0.47	0.49	0.5	0.53	0.89	1.01	1.03	1.01	0.14	0.11	0.11	0.53	0.68	0.71	0.71	0.71	0.2	0.16	0.16	-0.11	-0.05	0.01	0.02	0	0.84	0.87	0.89	-0.23	-0.09	0.01	0.03	0.01	1.01	1.01	1.01	0.43	0.82	0.98	1.01	0.98
P17B2.9C.ControlM	P48	week3	P17B2	9	Control	8	585	89.66	83.79	183.32	99.53	143.98	56.36	42.3	37.07	32.77	31.06	54.97	85.62	98.84	57.25	42.03	36.5	31.22	29.06	36.67	49.74	53.95	41.28	33.2	29.89	27.03	25.86	40.53	55.07	60.25	15.08	9.1	7.18	5.74	5.2	14.44	30.55	38.59	-0.9	0.27	0.57	1.54	2	18.31	35.87	44.9	0.54	0.27	0.22	0.19	0.18	0.17	0.26	0.36	0.39	-0.02	0.01	0.02	0.05	0.06	0.33	0.42	0.45	2.25	3.33	3.95	4.59	4.9	2.33	1.14	0.85	0.89	0.94	0.95	0.96	0.97	0.9	0.76	0.69	-0.06	0.03	0.08	0.27	0.38	1.27	1.17	1.16	-0.08	0.04	0.1	0.31	0.43	1.15	1.06	1.04	1.51	2.43	2.94	3.61	3.95
P17B3.0C.0M	P43	initial	P17B3	0	0	9	214	32.8	54.89	168.87	113.98	160.62	106.85	92.82	90.13	88.39	91.38	150.11	156.45	156.65	106.42	91.44	85.33	85.11	85.81	62.24	61.39	59.09	46.18	43.35	42.75	42.35	43.03	52.75	53.51	53.53	60.67	49.47	47.38	46.04	48.35	97.36	102.94	103.12	0.43	1.38	4.8	3.28	5.57	87.87	95.05	97.57	0.67	0.57	0.53	0.53	0.52	0.53	0.65	0.66	0.66	0	0.01	0.05	0.04	0.06	0.59	0.61	0.62	0.58	0.82	0.87	0.91	0.85	0.12	0.08	0.08	0.51	0.61	0.62	0.64	0.62	0.16	0.11	0.11	0.01	0.03	0.1	0.07	0.12	0.9	0.92	0.95	0.02	0.06	0.2	0.14	0.23	1.06	1.06	1.04	0.51	0.76	0.88	0.89	0.87
P17B3.0C.0M	P43	week3	P17B3	0	0	9	441	67.59	46.38	123.1	76.72	113.62	62.02	51.39	49.06	50.68	47.27	85.67	97.79	101.95	61.56	48.94	45.89	47.1	42.54	34.32	36.96	37.19	33.83	30.4	29.57	30.15	28.91	39.82	42.26	43.02	28.2	20.99	19.49	20.53	18.36	45.85	55.54	58.94	0.47	2.45	3.16	3.58	4.73	51.35	60.84	64.76	0.62	0.45	0.41	0.4	0.41	0.39	0.54	0.57	0.58	0.01	0.05	0.06	0.07	0.1	0.6	0.62	0.64	0.98	1.4	1.51	1.43	1.6	0.44	0.26	0.21	0.68	0.77	0.79	0.78	0.81	0.45	0.31	0.26	0.02	0.12	0.16	0.17	0.26	1.12	1.1	1.1	0.03	0.19	0.25	0.27	0.38	0.97	0.96	0.95	0.85	1.32	1.48	1.41	1.67
P17B3.0C.9M	P44	initial	P17B3	0	9	9	2278	349.12	38.24	103.04	64.8	106.51	76.86	67.65	63.96	61.61	62.81	88.3	93.32	95.06	78.39	67.2	63.32	59.95	59.45	39.91	39.16	38.98	33.95	32.02	31.17	30.6	30.9	36.01	36.82	37.09	42.91	35.63	32.79	31.01	31.92	52.29	56.5	57.97	-1.53	0.45	0.64	1.66	3.37	48.39	54.16	56.08	0.63	0.56	0.53	0.51	0.5	0.51	0.59	0.61	0.61	-0.02	0.01	0.01	0.03	0.05	0.55	0.58	0.59	0.34	0.52	0.61	0.67	0.64	0.17	0.1	0.08	0.38	0.5	0.54	0.57	0.56	0.22	0.15	0.12	-0.04	0.01	0.02	0.05	0.11	0.93	0.96	0.97	-0.08	0.03	0.04	0.11	0.2	1.03	1.02	1.02	0.36	0.59	0.68	0.78	0.79
P17B3.0C.9M	P44	week3	P17B3	0	9	9	1862	285.36	53.32	138.78	85.47	127.11	52.8	41.12	38.5	36.76	35.73	77.35	96.85	103.11	53.13	39.7	36.16	33.88	32.58	36.88	40.91	42.01	32.8	27.88	26.65	25.8	25.29	40.85	45.71	47.06	20	13.24	11.85	10.96	10.44	36.5	51.14	56.05	-0.33	1.42	2.33	2.88	3.14	40.47	55.94	61.1	0.62	0.38	0.32	0.31	0.3	0.29	0.47	0.53	0.54	-0.01	0.03	0.06	0.08	0.09	0.52	0.58	0.59	1.63	2.38	2.61	2.78	2.88	0.79	0.43	0.35	0.81	0.88	0.89	0.9	0.91	0.63	0.45	0.39	-0.02	0.11	0.2	0.26	0.3	1.11	1.09	1.09	-0.03	0.15	0.27	0.34	0.39	1	0.98	0.97	1.39	2.2	2.51	2.75	2.9
